ASIN,URL,Product,Reviews,Rating,Price
B06WLHGJ88,https://www.amazon.com/Canon-EOS-REBEL-T7i-Body/dp/B06WLHGJ88/ref=sr_1_63?qid=1567175141&s=electronics&sr=1-63,Canon EOS REBEL T7i Body,156,4.7,699.0
B06XNTPN8C,https://www.amazon.com/Canon-Digital-Camera-18-55mm-3-5-5-6/dp/B06XNTPN8C/ref=lp_3017941_1_10/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-10,"Canon EOS Rebel T6 Digital SLR Camera Kit with EF-S 18-55mm f/3.5-5.6 is II Lens, Built-in WiFi and NFC - Black (Renewed)",321,4.5,317.39
B06XR52LTZ,https://www.amazon.com/Canon-18-55mm-3-5-5-6-55-250mm-Advanced/dp/B06XR52LTZ/ref=sr_1_67?qid=1567175160&s=electronics&sr=1-67,Canon EOS 80D DSLR Camera and Canon EF-S 18-55mm f/3.5-5.6 is STM + EF-S 55-250mm f/4-5.6 is STM Lens with Altura Photo Complete Accessory and Travel Bundle,31,4.8,1298.0
B06XS1S46T,https://www.amazon.com/Canon-DSLR-Camera-18-55mm-Accessory/dp/B06XS1S46T/ref=sr_1_20?qid=1567175118&s=electronics&sr=1-20,Canon EOS T7i DSLR Camera with 18-55mm IS STM Lens + 2 x 32GB Card + Accessory Kit,96,4.4,799.0
B06XTFK4KZ,https://www.amazon.com/Canon-EOS-Rebel-T7i-Advanced/dp/B06XTFK4KZ/ref=sr_1_75?qid=1567175160&s=electronics&sr=1-75,Canon EOS Rebel T7i DSLR Camera with 18-55mm is STM Lens with Altura Photo Advanced Accessory and Travel Bundle,79,4.6,799.99
B06Y1P4T1C,https://www.amazon.com/Canon-EOS-Rebel-T7i-55-250mm/dp/B06Y1P4T1C/ref=sr_1_49?qid=1567175141&s=electronics&sr=1-49,Canon EOS Rebel T7i DSLR Camera with 18-55mm is STM and 55-250mm Lens with Altura Photo Advanced Accessory and Travel Bundle,39,4.9,949.0
B06Y5ZCFHX,https://www.amazon.com/Nikon-D7500-DX-Format-Digital-Body/dp/B06Y5ZCFHX/ref=lp_3017941_1_20/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-20,Nikon D7500 DX-Format Digital SLR Body,128,4.5,896.95
B071K62DPN,https://www.amazon.com/Canon-Rebel-DSLR-Camera-18-55mm/dp/B071K62DPN/ref=sr_1_21?qid=1567175118&s=electronics&sr=1-21,Canon EOS Rebel SL2 DSLR Camera with EF-S 18-55mm STM Lens - WiFi Enabled,193,4.7,549.0
B072MZCJKN,https://www.amazon.com/Canon-Mark-Digital-Camera-Body/dp/B072MZCJKN/ref=lp_3017941_1_5/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-5,Canon EOS 6D Mark II Digital SLR Camera Body – Wi-Fi Enabled,127,4.6,1299.0
B074G1T2DX,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_photo_sr_pg1_2?ie=UTF8&adId=A0127882MOWQKKKC4K4D&url=https%3A%2F%2Fwww.amazon.com%2FCanon-Camera-Ritz-Replacement-Kit%2Fdp%2FB074G1T2DX%2Fref%3Dlp_3017941_1_2_sspa%2F136-6166019-4912147%3Fs%3Dphoto%26ie%3DUTF8%26qid%3D1567175107%26sr%3D1-2-spons%26psc%3D1&qualifier=1567175107&id=380842268104977&widgetName=sp_atf_browse,"Canon EOS 6D Mark II Digital SLR Camera Body, Sandisk Ultra 64GB U3 2 Pack, Ritz Gear Camera Backpack, Tripod, Replacement Battery, Cleaning Kit, Monopod, and Accessory Bundle",8,4.1,1399.0
B074V3J1TL,https://www.amazon.com/Canon-EOS-Rebel-T7i-Telephoto/dp/B074V3J1TL/ref=sr_1_69?qid=1567175160&s=electronics&sr=1-69,Canon EOS Rebel T7i DSLR Camera Deluxe Video Creator Kit with Canon EF-S 18-55mm f/3.5-5.6 IS STM Lens + Wide Angle Lens + 2x Telephoto Lens + Flash + SanDisk 32GB SD Memory Card + Accessory Bundle,33,4.4,849.0
